,Week,Name,Position,Year,Game,Fantasy Points,PassingYards,PassingTDs,Ints,Rush Attempts,Rush Yards,Fumbles,RushTDs,Receptions,Receiving Yards,Receiving TDs
458,,Aaron Rodgers,QB,2022,NE@GB,20.00,251,2,1,1,1,0,0,,,
459,,Cooper Rush,QB,2022,WAS@DAL,20.00,223,2,0,2,7,0,0,,,
460,,Zach Wilson,QB,2022,NYJ@PIT,20.00,252,1,2,2,15,0,0,,,
461,,Davis Mills,QB,2022,LAC@HOU,17.00,246,2,2,0,0,0,0,,,
462,,Ryan Tannehill,QB,2022,TEN@IND,17.00,137,2,0,5,9,0,0,,,
463,,Andy Dalton,QB,2022,MIN@NO,16.00,236,1,0,1,3,1,0,,,
464,,Jimmy Garoppolo,QB,2022,LA@SF,15.00,239,1,0,1,3,0,0,,,
465,,Jalen Hurts,QB,2022,JAX@PHI,15.00,204,0,1,16,38,0,1,,,
466,,Jacoby Brissett,QB,2022,CLE@ATL,14.00,234,0,1,5,16,0,1,,,
467,,Kirk Cousins,QB,2022,MIN@NO,14.00,273,1,1,0,0,0,0,,,
468,,Lamar Jackson,QB,2022,BUF@BAL,14.00,144,1,2,11,73,0,0,,,
469,,Teddy Bridgewater,QB,2022,MIA@CIN,12.00,193,1,1,1,11,0,0,,,
470,,Trevor Lawrence,QB,2022,JAX@PHI,12.00,174,2,1,2,7,4,0,,,
471,,Derek Carr,QB,2022,DEN@LV,11.00,188,0,0,7,40,0,0,,,
472,,Kenny Pickett,QB,2022,NYJ@PIT,11.00,120,0,3,6,15,0,2,,,
473,,Justin Fields,QB,2022,CHI@NYG,10.00,174,0,0,7,52,1,0,,,
474,,Baker Mayfield,QB,2022,ARI@CAR,8.00,197,1,2,2,0,1,0,,,
475,,Carson Wentz,QB,2022,WAS@DAL,8.00,170,1,2,1,5,0,0,,,
476,,Bailey Zappe,QB,2022,NE@GB,8.00,99,1,0,0,0,1,0,,,
477,,Matthew Stafford,QB,2022,LA@SF,7.00,254,0,1,2,6,1,0,,,
478,,Marcus Mariota,QB,2022,CLE@ATL,3.00,139,0,1,5,3,0,0,,,
479,,Tua Tagovailoa,QB,2022,MIA@CIN,2.00,110,0,1,0,0,0,0,,,
480,,Brian Hoyer,QB,2022,NE@GB,1.00,37,0,0,0,0,0,0,,,
481,,Tyrod Taylor,QB,2022,CHI@NYG,1.00,11,0,1,3,30,0,0,,,
482,,Mitchell Trubisky,QB,2022,NYJ@PIT,1.00,84,0,1,1,1,0,0,,,
483,,Josh Allen,QB,2022,PIT@BUF,42.00,424,4,1,5,42,0,0,,,
484,,Patrick Mahomes,QB,2022,LV@KC,37.00,292,4,0,4,28,0,0,,,
485,,Geno Smith,QB,2022,SEA@NO,29.00,268,3,0,3,13,0,0,,,
486,,Jalen Hurts,QB,2022,PHI@ARI,27.00,239,0,0,15,61,0,2,,,
487,,Carson Wentz,QB,2022,TEN@WAS,25.00,359,2,1,5,15,0,0,,,
488,,Kirk Cousins,QB,2022,CHI@MIN,23.00,296,1,1,4,4,0,1,,,
489,,Tom Brady,QB,2022,ATL@TB,22.00,351,1,0,3,-3,0,0,,,
490,,Jimmy Garoppolo,QB,2022,SF@CAR,22.00,253,2,0,1,-1,0,0,,,
491,,Derek Carr,QB,2022,LV@KC,21.00,241,2,0,1,3,0,0,,,
492,,Aaron Rodgers,QB,2022,NYG@GB,20.00,222,2,0,0,0,0,0,,,
493,,Marcus Mariota,QB,2022,ATL@TB,19.00,147,1,0,7,61,0,0,,,
494,,Joe Burrow,QB,2022,CIN@BAL,18.00,217,1,1,3,6,0,1,,,
495,,Justin Fields,QB,2022,CHI@MIN,18.00,208,1,0,8,47,0,0,,,
496,,Kyler Murray,QB,2022,PHI@ARI,18.00,250,1,1,4,42,0,0,,,
497,,Jacoby Brissett,QB,2022,LAC@CLE,16.00,230,1,1,3,32,0,0,,,
498,,Justin Herbert,QB,2022,LAC@CLE,16.00,228,1,0,5,13,0,0,,,
499,,Lamar Jackson,QB,2022,CIN@BAL,15.00,174,1,1,12,58,0,0,,,
500,,Matthew Stafford,QB,2022,DAL@LA,14.00,308,1,1,0,0,2,0,,,
501,,Zach Wilson,QB,2022,MIA@NYJ,14.00,210,0,0,4,2,0,1,,,
502,,Ryan Tannehill,QB,2022,TEN@WAS,13.00,181,1,0,3,3,0,0,,,
503,,Kenny Pickett,QB,2022,PIT@BUF,12.00,327,0,1,1,10,0,0,,,
504,,Andy Dalton,QB,2022,SEA@NO,11.00,187,1,1,7,4,0,0,,,
505,,Daniel Jones,QB,2022,NYG@GB,11.00,217,0,0,10,37,0,0,,,
506,,Bailey Zappe,QB,2022,DET@NE,11.00,188,1,1,5,5,0,0,,,
507,,Trevor Lawrence,QB,2022,HOU@JAX,9.00,286,0,2,4,29,0,0,,,
508,,Russell Wilson,QB,2022,IND@DEN,8.00,274,0,2,4,22,0,0,,,
509,,Jared Goff,QB,2022,DET@NE,6.00,229,0,1,3,7,1,0,,,
510,,Baker Mayfield,QB,2022,SF@CAR,6.00,215,0,1,0,0,0,0,,,
511,,Matt Ryan,QB,2022,IND@DEN,6.00,251,0,2,1,1,0,0,,,
512,,Davis Mills,QB,2022,HOU@JAX,5.00,140,0,0,2,2,0,0,,,
513,,Cooper Rush,QB,2022,DAL@LA,4.00,102,0,0,4,-1,0,0,,,
514,,Skylar Thompson,QB,2022,MIA@NYJ,3.00,166,0,1,0,0,1,0,,,
515,,Phillip Walker,QB,2022,SF@CAR,2.00,60,0,0,0,0,0,0,,,
516,,Teddy Bridgewater,QB,2022,MIA@NYJ,0.00,0,0,0,0,0,0,0,,,
517,,Case Keenum,QB,2022,PIT@BUF,0.00,8,0,0,2,-2,0,0,,,
518,,Brock Purdy,QB,2022,SF@CAR,0.00,0,0,0,1,-1,0,0,,,
519,,Joe Burrow,QB,2022,CIN@NO,38.00,300,3,0,4,25,0,1,,,
520,,Josh Allen,QB,2022,BUF@KC,33.00,329,3,0,12,32,1,0,,,
521,,Matt Ryan,QB,2022,JAX@IND,33.00,389,3,0,1,-4,0,0,,,
522,,Marcus Mariota,QB,2022,SF@ATL,28.00,129,2,0,6,50,0,1,,,
523,,Trevor Lawrence,QB,2022,JAX@IND,26.00,165,1,0,6,23,0,2,,,
524,,Bailey Zappe,QB,2022,NE@CLE,24.00,309,2,0,3,-4,1,0,,,
525,,Patrick Mahomes,QB,2022,BUF@KC,23.00,338,2,2,4,21,0,0,,,
526,,Teddy Bridgewater,QB,2022,MIN@MIA,22.00,329,2,2,1,10,0,0,,,
527,,Kirk Cousins,QB,2022,MIN@MIA,21.00,175,2,0,2,-5,0,0,,,
528,,Jimmy Garoppolo,QB,2022,SF@ATL,20.00,296,2,2,3,11,0,0,,,
529,,Jalen Hurts,QB,2022,DAL@PHI,20.00,155,2,0,9,27,0,0,,,
530,,Justin Fields,QB,2022,WAS@CHI,19.00,190,1,1,12,88,0,0,,,
531,,Lamar Jackson,QB,2022,BAL@NYG,18.00,210,1,1,7,77,1,0,,,
532,,Daniel Jones,QB,2022,BAL@NYG,17.00,173,2,0,6,6,1,0,,,
533,,Tom Brady,QB,2022,TB@PIT,15.00,243,1,0,1,0,0,0,,,
534,,Kyler Murray,QB,2022,ARI@SEA,15.00,222,0,1,10,100,1,0,,,
535,,Russell Wilson,QB,2022,DEN@LAC,15.00,188,1,0,4,23,0,0,,,
536,,Aaron Rodgers,QB,2022,NYJ@GB,14.00,246,1,0,1,0,1,0,,,
537,,Matthew Stafford,QB,2022,CAR@LA,14.00,253,1,1,2,-3,0,0,,,
538,,Andy Dalton,QB,2022,CIN@NO,12.00,162,1,0,0,0,0,0,,,
539,,Jacoby Brissett,QB,2022,NE@CLE,11.00,266,1,2,1,0,1,0,,,
540,,Geno Smith,QB,2022,ARI@SEA,11.00,197,0,0,6,48,0,0,,,
541,,Mitchell Trubisky,QB,2022,TB@PIT,11.00,144,1,0,6,5,0,0,,,
542,,Kenny Pickett,QB,2022,TB@PIT,9.00,67,1,0,2,16,0,0,,,
543,,Justin Herbert,QB,2022,DEN@LAC,7.00,238,0,1,2,9,0,0,,,
544,,Cooper Rush,QB,2022,DAL@PHI,7.00,181,1,3,0,0,0,0,,,
545,,Zach Wilson,QB,2022,NYJ@GB,4.00,110,0,0,5,1,0,0,,,
546,,Skylar Thompson,QB,2022,MIN@MIA,3.00,89,0,0,1,9,0,0,,,
547,,Carson Wentz,QB,2022,WAS@CHI,3.00,99,0,0,2,2,0,0,,,
548,,Phillip Walker,QB,2022,CAR@LA,2.00,60,0,0,1,-1,0,0,,,
549,,Jacob Eason,QB,2022,CAR@LA,0.00,59,0,1,0,0,0,0,,,
