Id,Name,Position,Year,School,RASScore,AllTimeScore
1636,Andrew Marshall,OG,2019,Georgia Tech,3.03,3.2
1637,Pou Peleti-Gore,LB,2019,Oregon,1.65,1.92
1638,Malik Rivera,CB,2019,Georgia Tech,1.95,2.13
1639,JeKevin Carter,LS,2019,Arkansas Pine-Bluff,3.94,4.35
1640,Malik Davis,SS,2019,Austin Peay,6.97,7.25
1641,Tyler Scozzaro,OG,2019,Jacksonville State,0.36,0.53
1642,Connor Christian,DT,2019,Jacksonville State,3.32,3.49
1643,Emmanuel Fennell,DE,2019,Jacksonville State,1.09,1.21
1644,DeMarcus Flowers,RB,2019,Jacksonville State,1.37,1.44
1645,Cade Stinnett,PK,2019,Jacksonville State,0,0
1646,Justin Thomas-Thornton,DE,2019,Jacksonville State,1.9,2.07
1647,Tucker Yates,DT,2019,Montana State,3.11,3.35
1648,Tyrone FaAnono,DE,2019,Montana State,6.59,6.51
1649,Chidi Okeke,OT,2019,Tennessee State,7.31,7.09
1650,Treon Harris,WR,2019,Tennessee State,1.32,1.44
1651,Justin Brooks,OG,2019,Tennessee State,1.19,1.46
1652,LaQuarius Cook,FS,2019,Tennessee State,0.44,0.72
1653,Blair Edwards,LB,2019,Tennessee State,0.08,0.11
1654,DeVon Johnson,WR,2019,Tennessee State,2.01,2.27
1655,Gary Cross,WR,2019,Arkansas,4.82,5.02
1656,Lucas Ryder,FS,2019,Arkansas,1.65,2.19
1657,Kevin Richardson,CB,2019,Arkansas,0.38,0.52
1658,Nate Trewyn,OG,2019,Wisconsin Whitewater,4.79,5.05
1659,Caleb Hill,TE,2019,Montana,0.29,0.38
1660,Eric Williams,PK,2019,Montana,4.08,3.9
1661,Troy Bacon,OG,2019,Rocky Mountain College,1.18,1.45
1662,Artis Johnson,LB,2019,Marshall,6.98,7.17
1663,Adam Choice,RB,2019,Clemson,2.18,2.46
1664,Cannon Smith,TE,2019,Clemson,1.44,1.57
1665,Wes Farnsworth,LS,2019,Nevada,9.44,9.66
1666,Kaulana Apelu,LB,2019,Oregon,3.45,3.62
1667,Trevor Morris,LB,2019,Rutgers,2.48,2.76
1668,Iseoluwapo Jegede,DE,2019,Valdosta State,7.85,7.82
1669,Alec Heldreth,DT,2019,Clarion,9.55,9.6
1670,Doyin Jibowu,CB,2019,Fort Hays State,7.16,7.25
1671,Travis Krall,OG,2019,Bloomsburg,2.85,3.11
1672,Trinity Benson,WR,2019,East Central,8.07,8.29
1673,Drew Forbes,OG,2019,Southeast Missouri,9.8,9.8
1674,Billy Inge III,FS,2019,East Stroudsburg,4.38,4.62
1675,Sherman Coleman,CB,2019,Fresno State,4.21,4.38
1676,Justin Brent,RB,2019,Notre Dame,5.57,5.74
1677,Connor Niles,WR,2019,Morningside,0.36,0.53
1678,Bryce Bartlett,CB,2019,Tusculum,0.81,1.01
1679,Kade Belyk,WR,2019,Guelph,0.81,0.97
1680,Eric Blake,LB,2019,McMaster,0.24,0.36
1681,Kyle Boismier,OG,2019,Waterloo,0.02,0.02
1682,Gregoire Bouchard,OG,2019,Western University,0.19,0.3
1683,Ejaz Causer,FS,2019,Queens,0.65,1.03
1684,Greg Corfield,DT,2019,Guelph,0.15,0.24
1685,Philippe Dion,LB,2019,Western University,0.11,0.14
1686,Zeph Fraser,WR,2019,Guelph,4.57,4.92
1687,Lautaro Frecha,FS,2019,Waterloo,0.2,0.45
1688,Jaylan Guthrie,OT,2019,Guelph,0,0
1689,Brendan Hepburn,DE,2019,International,0.51,0.68
1690,Scott Hutter,FS,2019,Wilfrid Laurier,1.87,2.37
1691,Trevaughan James,DT,2019,Wilfrid Laurier,0.06,0.09
1692,Jacob Janke,LB,2019,York,6.68,6.68
1693,Colin Jerome,OG,2019,Guelph,3.89,4.11
1694,Hakeem Johnson,CB,2019,Western University,1.83,2.21
1695,Wesley Lewis,WR,2019,Houston Baptist,7.17,7.3
1696,Drew Mairleitner,OG,2019,Wilfrid Laurier,0.28,0.37
1697,Evan Martin,FS,2019,Windsor,0.61,1
1698,Nathan Mesher,PK,2019,Wilfrid Laurier,0.14,0.11
1699,Job Reinhart,LB,2019,Guelph,0.31,0.44
1700,Micahel Sanelli,DT,2019,Concordia,6.2,6.15
1701,Joe Spaziani,LS,2019,Virginia,6.76,6.94
1702,Kaeden Walls,WR,2019,WIndsor,0.13,0.23
