Id,Player,Position,Year,School,RAS Score,All Time Score
12272,Mario Edwards,DT,2015,Florida State,9.1,9.28
12273,Mark Glowinski,OG,2015,West Virginia,9.42,9.47
12274,Mark Nzeocha,LB,2015,Wyoming,0,0
12275,Markus Golden,DE,2015,Missouri,1.99,2.77
12276,Martin Ifedi,DT,2015,Memphis,8.19,8.31
12277,Martrell Spaight,LB,2015,Arkansas,2.75,3.5
12278,Matt Isherwood,SS,2015,Simon Fraser,0.18,0.89
12279,Matt Jones,RB,2015,Florida,5.23,5.64
12280,Matt LaCosse,TE,2015,Illinois,7.45,7.55
12281,Matt Lengel,TE,2015,Eastern Kentucky,8.63,8.73
12282,Matt Longacre,DE,2015,Northwest Missouri State,8.44,8.64
12283,Matt Rea,FB,2015,Michigan State,3.31,3.72
12284,Matt Rotheram,OG,2015,Pittsburgh,9.15,9.3
12285,Matt Wells,LB,2015,Mississippi State,7.72,8.09
12286,Matthew Wells,LB,2015,Mississippi State,7.72,8.09
12287,Max Garcia,OC,2015,Florida,5.73,5.85
12288,Max Valles,LB,2015,Virginia,6.76,6.99
12289,Maxx Forde,DE,2015,Idaho,5.64,6.23
12290,Maxx Williams,TE,2015,Minnesota,4.18,4.33
12291,Melvin Abankwah,WR,2015,Saint Marys,1.62,1.91
12292,Melvin Gordon,RB,2015,Wisconsin,8.74,8.95
12293,Michael Bennett,DT,2015,Ohio State,8.04,8.21
12294,Michael Burton,FB,2015,Rutgers,6.51,7.21
12295,Michael Dyer,RB,2015,Louisville,5.56,5.89
12296,Michael Liedtke,OG,2015,Illinois State,9.83,9.84
12297,Mike Davis,RB,2015,South Carolina,6.09,6.75
12298,Mike Hull,LB,2015,Penn State,6.75,7.17
12299,Mike McFarland,TE,2015,South Florida,7.95,8.14
12300,Mike Reilly,DE,2015,William & Mary,5.47,5.98
12301,Mikhail Davidson,WR,2015,Montreal,0.92,1.15
12302,Mitch Morse,OG,2015,Missouri,9.57,9.54
12303,Mitchell Bell,OG,2015,Louisiana Tech,3.18,4.06
12304,Mitchell Henry,TE,2015,Western Kentucky,7.38,7.68
12305,Montell Garner,CB,2015,South Alabama,2.48,3.01
