Id,Player,Position,Year,School,RAS Score,All Time Score
23019,Jaelyn Duncan,OT,2023,Maryland,9.01,9.01
23020,Ryan Hayes,OT,2023,Michigan,8.9,8.9
23021,Olusegun Oluwatimi,OC,2023,Michigan,7.86,7.86
23022,Cody Mauch,OT,2023,North Dakota State,9.33,9.33
23023,Jarrett Patterson,OC,2023,Notre Dame,7.29,7.29
23024,Dawand Jones,OT,2023,Ohio State,0,0
23025,McClendon Curtis,OG,2023,Chattanooga,7.74,7.74
23026,Asim Richards,OG,2023,North Carolina,7.48,7.48
23027,Jake Andrews,OC,2023,Troy,7.51,7.51
23028,Chase Brown,RB,2023,Illinois,9.81,9.81
23029,Roschon Johnson,RB,2023,Texas,8.67,8.67
23030,Davis Allen,TE,2023,Clemson,8.58,8.58
23031,Payne Durham,TE,2023,Purdue,6.58,6.58
23032,Elijah Higgins,WR,2023,Stanford,8.94,8.94
23033,Michael Wilson,WR,2023,Stanford,9.55,9.55
23034,Puka Nacua,WR,2023,Brigham Young,5.17,5.17
23035,Grant DuBose,WR,2023,Charlotte,8.79,8.79
23036,DeMarcco Hellams,FS,2023,Alabama,4.53,4.53
23037,Jammie Robinson,SS,2023,Florida State,6.07,6.07
23038,Christopher Smith II,FS,2023,Georgia,2.93,2.93
23039,Julius Brents,CB,2023,Kansas State,9.99,9.99
23040,Darrell Luter Jr.,CB,2023,South Alabama,8.47,8.47
23041,Darius Rush,CB,2023,South Carolina,9.8,9.8
23042,Anthony Johnson,FS,2023,Virginia,4.87,4.87
23043,Chamarri Conner,FS,2023,Virginia Tech,9.16,9.16
23044,DJ Dale,DT,2023,Alabama,2.3,2.3
23045,Byron Young,DT,2023,Alabama,5.3,5.3
23046,Ali Gaye,DE,2023,Louisiana State,0,0
23047,Cameron Young,DT,2023,Mississippi State,6.34,6.34
23048,Jalen Redmond,DE,2023,Oklahoma,7.86,7.86
23049,Tavius Robinson,DE,2023,Mississippi,8.77,8.77
23050,Zacch Pickens,DT,2023,South Carolina,9.23,9.23
23051,Dylan Horton,DE,2023,Texas Christian,7.01,7.01
23052,Byron Young,DE,2023,Tennessee,9.22,9.22
23053,Eku Leota,LB,2023,Auburn,0,0
23054,Isaiah Land,LB,2023,Florida A&M,8.6,8.6
23055,Will McDonald IV,DE,2023,Iowa State,9.66,9.66
23056,Aubrey Miller Jr.,LB,2023,Jackson State,4.23,4.23
23057,SirVocea Dennis,LB,2023,Pittsburgh,7.28,7.28
23058,Dee Winters,LB,2023,Texas Christian,5.71,5.71
23059,Dorian Williams,LB,2023,Tulane,8.81,8.81
23060,Emil Ekiyor Jr.,OG,2023,Alabama,0,0
23061,Tyler Steen,OT,2023,Alabama,9.46,9.46
23062,Richard Gouraige,OT,2023,Florida,1.52,1.52
23063,Nick Saldiveri,OT,2023,Old Dominion,9.47,9.47
23064,Nick Broeker,OG,2023,Mississippi,8.23,8.23
23065,Steve Avila,OG,2023,Texas Christian,8.5,8.5
23066,Warren McClendon Jr.,OT,2023,Georgia,0,0
23067,Kenny McIntosh,RB,2023,Georgia,4.09,4.09
23068,Chris Rodriguez Jr.,RB,2023,Kentucky,7.71,7.71
23069,Tyjae Spears,RB,2023,Tulane,7.51,7.51
23070,Cameron Latu,TE,2023,Alabama,6.23,6.23
23071,Will Mallory,TE,2023,Miami,9.05,9.05
23072,Brayden Willis,TE,2023,Oklahoma,4.71,4.71
23073,Derius Davis,WR,2023,Texas Christian,4.29,4.29
23074,Xavier Hutchinson,WR,2023,Iowa State,7.27,7.27
23075,Jonathan Mingo,WR,2023,Mississippi,9.87,9.87
23076,Jalen Wayne,WR,2023,South Alabama,6.59,6.59
23077,Andrei Iosivas,WR,2023,Princeton,9.96,9.96
23078,Ryan Walk,OG,2023,Oregon,8.3,8.3
23079,Yasir Abdullah,LB,2023,Louisville,9.63,9.63
23080,Brevin Allen,DE,2023,Campbell,6.5,6.5
23081,Kazmeir Allen,WR,2023,UCLA,1.86,1.86
23082,Spencer Anderson,OG,2023,Maryland,9.37,9.37
23083,Adam Barry,PK,2023,Oregon,5.72,5.72
23084,Henry Bainivalu,OG,2023,Washington,4.57,4.57
23085,Habakkuk Baldonado,DE,2023,Pittsburgh,8.13,8.13
23086,Jeremy Banks,LB,2023,Tennessee,8.96,8.96
23087,Daniel Barker,TE,2023,Michigan State,5.33,5.33
23088,Quinton Barrow,OT,2023,Grand Valley State,4.35,4.35
23089,Tyler Adams,WR,2023,Butler,6.94,6.94
23090,Terrell Ford,WR,2023,New Haven,1.53,1.53
23091,Jarrick Bernard-Converse,CB,2023,Louisiana State,9.78,9.78
23092,Jake Bobo,WR,2023,UCLA,2.61,2.61
23093,Preston Hutchinson,QB,2023,Chattanooga,1.43,1.43
23094,Khalid Thomas,CB,2023,Samford,5.59,5.59
23095,Lance Boykin,CB,2023,Coastal Carolina,3.38,3.38
23096,Chase Brice,QB,2023,Appalachian State,0,0
23097,Mason Brooks,OT,2023,Mississippi,0,0
23098,Myles Brooks,CB,2023,Louisiana Tech,6.43,6.43
23099,Cam Brown,CB,2023,Ohio State,3.46,3.46
23100,Amari Burney,LB,2023,Florida,9.19,9.19
23101,Jerron Cage,DT,2023,Ohio State,2.41,2.41
23102,Jerome Carvin,OG,2023,Tennessee,3.18,3.18
23103,Jacky Chen,OT,2023,Pace,5.39,5.39
23104,Kei'Trel Clark,CB,2023,Louisville,7.67,7.67
23105,Keondre Coburn,DT,2023,Texas,5.27,5.27
23106,Jack Colletto,LB,2023,Oregon State,5.71,5.71
23107,Jalen Moreno-Cropper,WR,2023,Fresno State,6.24,6.24
23108,Dallas Daniels,WR,2023,Jackson State,0.89,0.89
23109,Shaq Davis,WR,2023,South Carolina State,7.56,7.56
23110,Trey Dean,SS,2023,Florida,8.62,8.62
23111,Tim Demorat,QB,2023,Fordham,7.31,7.31
23112,Tommy Devito,QB,2023,Illinois,7.89,7.89
23113,Mohamoud Diabate,LB,2023,Utah,9.11,9.11
23114,Demario Douglas,WR,2023,Liberty,7.34,7.34
23115,Travis Dye,RB,2023,Southern California,0.15,0.15
23116,Ikenna Enechukwu,DE,2023,Rice,7.72,7.72
23117,Deboreae McClain,DE,2023,Eastern Washington,0.6,0.6
23118,Mark Evans II,OG,2023,Arkansas Pine-Bluff,3.62,3.62
23119,Princeton Fant,TE,2023,Tennessee,0,0
23120,Viliami Fehoko,DE,2023,San Jose State,5.34,5.34
23121,AJ Finley,FS,2023,Mississippi,6.95,6.95
23122,Connor Galvin,OT,2023,Baylor,5.35,5.35
23123,Jalen Graham,LB,2023,Purdue,4.33,4.33
23124,Thomas Greaney,TE,2023,Albany,4.23,4.23
23125,Antoine Green,WR,2023,North Carolina,8.68,8.68
23126,Art Green,CB,2023,Houston,9.5,9.5
23127,Luke Haggard,OT,2023,Indiana,8.25,8.25
23128,Matthew Hembrough,LS,2023,Oklahoma State,9.18,9.18
23129,Shaka Heyward,LB,2023,Duke,7.94,7.94
23130,Tre'Vius Hodges-Tomlinson,CB,2023,Texas Christian,8.02,8.02
23131,Jordan Howden,FS,2023,Minnesota,8.88,8.88
23132,Mohamed Ibrahim,RB,2023,Minnesota,0,0
23133,Kearis Jackson,WR,2023,Georgia,7.56,7.56
23134,D'Shawn Jamison,CB,2023,Texas,5.87,5.87
23135,Michael Jefferson,WR,2023,Louisiana,8.67,8.67
23136,Nate Givhan,LB,2023,Toledo,6.53,6.53
23137,Andre Jones Jr.,DE,2023,Louisiana,0,0
23138,Nic Jones,CB,2023,Ball State,6.32,6.32
23139,Truman Jones,DE,2023,Harvard,8.37,8.37
23140,Tyreque Jones,SS,2023,Boise State,4.15,4.15
23141,Jaxson Kirkland,OG,2023,Washington,4.91,4.91
23142,Brent Laing,OT,2023,Minnesota Duluth,5.94,5.94
23143,Titus Leo,DE,2023,Wagner,8.48,8.48
23144,Antonio Mafi,OG,2023,UCLA,0,0
23145,Brodric Martin,DT,2023,Western Kentucky,2.14,2.14
23146,Ochaun Mathis,LB,2023,Nebraska,8.33,8.33
23147,Devonnsha Maxwell,DT,2023,Chattanooga,5.01,5.01
23148,Jordan Mcfadden,OG,2023,Clemson,7.71,7.71
23149,Jordan Mims,RB,2023,Fresno State,1.46,1.46
23150,Jake Moody,PK,2023,Michigan,0,0
23151,Isaiah Moore,LB,2023,North Carolina State,6.03,6.03
23152,Tanner Morgan,QB,2023,Minnesota,3.6,3.6
23153,Caleb Murphy,DE,2023,Ferris State,5.09,5.09
23154,Pj Mustipher,DT,2023,Penn State,1.63,1.63
23155,Aidan O'Connell,QB,2023,Purdue,0,0
23156,Moro Ojomo,DT,2023,Texas,9.17,9.17
23157,John Ojukwu,OT,2023,Boise State,8.72,8.72
23158,Anfernee Orji,LB,2023,Vanderbilt,9.23,9.23
23159,Gervarrius Owens,FS,2023,Houston,9.21,9.21
23160,Alex Palczewski,OT,2023,Illinois,7.77,7.77
23161,Derek Parish,DE,2023,Houston,9.25,9.25
23162,A.T. Perry,WR,2023,Wake Forest,9.62,9.62
23163,Deneric Prince,RB,2023,Tulsa,9.58,9.58
23164,Jose Ramirez,DE,2023,Eastern Michigan,8.1,8.1
23165,Adonis Boone,OG,2023,Louisville,2.9,2.9
23166,Nikko Remigio,WR,2023,Fresno State,4.89,4.89
23167,Luke Schoonmaker,TE,2023,Michigan,9.86,9.86
23168,Eric Scott,CB,2023,Southern Mississippi,8.69,8.69
23169,Juice Scruggs,OC,2023,Penn State,7.96,7.96
23170,Nehemiah Shelton,CB,2023,San Jose State,1.18,1.18
23171,Kent Vines,LS,2023,Monmouth,0.34,0.34
23172,Kyle Soelle,LB,2023,Arizona State,9.27,9.27
23173,Colby Sorsdal,OT,2023,William & Mary,6.48,6.48
23174,Dante Stills,DT,2023,West Virginia,8.62,8.62
23175,Chris Stoll,LS,2023,Penn State,8.57,8.57
23176,Andre Szmyt,PK,2023,Syracuse,0,0
23177,Leonard Taylor,TE,2023,Cincinnati,0,0
23178,Kadeem Telfort,OT,2023,Alabama Birmingham,1.59,1.59
23179,Charlie Thomas,LB,2023,Georgia Tech,8.22,8.22
23180,Drake Thomas,LB,2023,North Carolina State,6.3,6.3
23181,Starling Thomas,CB,2023,Alabama Birmingham,6.63,6.63
23182,B.J. Thompson,DE,2023,Stephen F. Austin,9.03,9.03
23183,Dorian Thompson-Robinson,QB,2023,UCLA,7.72,7.72
23184,Michael Turk,PK,2023,Oklahoma,8.93,8.93
23185,Kobie Turner,DT,2023,Wake Forest,7.1,7.1
23186,Xazavian Valladay,RB,2023,Arizona State,9.46,9.46
23187,Ben VanSumeren,LB,2023,Michigan State,9.65,9.65
23188,Taron Vincent,DT,2023,Ohio State,2.14,2.14
23189,Travis Vokolek,TE,2023,Nebraska,7.95,7.95
23190,Dalton Wagner,OT,2023,Arkansas,4.4,4.4
23191,Carter Warren,OT,2023,Pittsburgh,0,0
23192,Tyrus Wheat,LB,2023,Mississippi State,7.19,7.19
23193,Blake Whiteheart,TE,2023,Wake Forest,8.99,8.99
23194,Bennett Williams,FS,2023,Oregon,6.38,6.38
23195,Jaylin Williams,CB,2023,Indiana,5.54,5.54
23196,Jaiden Woodbey,SS,2023,Boston College,5.8,5.8
23197,Chandler Zavala,OG,2023,North Carolina State,9.5,9.5
23198,Kilian Zierer,OT,2023,Auburn,7.84,7.84
23199,Tyson Bagent,QB,2023,Shepherd,9.01,9.01
23200,Malik Cunningham,QB,2023,Louisville,0,0
23201,Max Duggan,QB,2023,Texas Christian,7.14,7.14
23202,Jake Haener,QB,2023,Fresno State,0,0
23203,Jaren Hall,QB,2023,Brigham Young,7.96,7.96
23204,Clayton Tune,QB,2023,Houston,9.83,9.83
23205,Joey Fisher,OG,2023,Shepherd,9.66,9.66
23206,Bryce Baringer,PK,2023,Michigan State,0,0
23207,Adam Korsak,PK,2023,Rutgers,0,0
23208,Jack Podlesny,PK,2023,Georgia,0,0
23209,Chad Ryland,PK,2023,Maryland,0,0
23210,Robert Hentz II,DT,2023,Kansas State,0.95,0.95
23211,Alex Ward,PK,2023,Central Florida,5.35,5.35
23212,Keidron Smith,SS,2023,Kentucky,7.19,7.19
23213,Luke Loechler,PK,2023,Oregon State,0,0
23214,Nate Cox,QB,2023,Nevada,0,0
23215,Marte Mapu,LB,2023,Sacramento State,0,0
23216,Stetson Bennett,QB,2023,Georgia,8.2,8.2
23217,Israel Abanikanda,RB,2023,Pittsburgh,9.63,9.63
23218,Zach Charbonnet,RB,2023,UCLA,8.71,8.71
23219,Zach Evans,RB,2023,Mississippi,8.75,8.75
23220,Zion Bowens,WR,2023,Hawaii,3.72,3.72
23221,Hunter Luepke,FB,2023,North Dakota State,9.55,9.55
23222,DeWayne McBride,RB,2023,Alabama Birmingham,0,0
23223,Kendre Miller,RB,2023,Texas Christian,0,0
23224,Keaton Mitchell,RB,2023,East Carolina,6.17,6.17
23225,Trey Cobb,LB,2023,Appalachian State,0.32,0.32
23226,Sa'Rodorick Thompson,RB,2023,Texas Tech,7.36,7.36
23227,Sean Tucker,RB,2023,Syracuse,0,0
23228,Deuce Vaughn,RB,2023,Kansas State,4.32,4.32
23229,Kayshon Boutte,WR,2023,Louisiana State,4.99,4.99
23230,Jalen Brooks,WR,2023,South Carolina,5.59,5.59
23231,Jason Brownlee Jr.,WR,2023,Southern Mississippi,8.96,8.96
23232,Dontay Demus Jr.,WR,2023,Maryland,7.85,7.85
23233,Malik Heath,WR,2023,Mississippi,6.58,6.58
23234,Jalin Hyatt,WR,2023,Tennessee,8.76,8.76
23235,Jaray Jenkins,WR,2023,Louisiana State,4.09,4.09
23236,C.J. Johnson,WR,2023,East Carolina,3.8,3.8
23237,Charles Jones,WR,2023,Purdue,8.54,8.54
23238,Malik Knowles,WR,2023,Kansas State,0,0
23239,Matt Landers,WR,2023,Arkansas,9.85,9.85
23240,Marvin Mims Jr.,WR,2023,Oklahoma,9.41,9.41
23241,Joseph Ngata,WR,2023,Clemson,7.32,7.32
23242,Tyler Scott,WR,2023,Cincinnati,8.61,8.61
23243,Mitchell Tinsley,WR,2023,Penn State,7.41,7.41
23244,Noah Gindorff,TE,2023,North Dakota State,0,0
23245,Dalton Kincaid,TE,2023,Utah,0,0
23246,Sam LaPorta,TE,2023,Iowa,9.02,9.02
23247,Kyle Patterson,TE,2023,Air Force,0,0
23248,Brenton Strange,TE,2023,Penn State,9.09,9.09
23249,Alan Ali,OC,2023,Texas Christian,3.8,3.8
23250,Malaesala Aumavae-Laulu,OG,2023,Oregon,8.88,8.88
23251,TJ Bass,OG,2023,Oregon,8.21,8.21
23252,Earl Bostick Jr.,OT,2023,Kansas,9.41,9.41
23253,Anthony Bradford,OG,2023,Louisiana State,9.81,9.81
23254,Braeden Daniels,OG,2023,Utah,9.56,9.56
23255,Alex Forsyth,OC,2023,Oregon,0,0
23256,Nate Adkins,TE,2023,South Carolina,3.27,3.27
23257,Jovaughn Gwyn,OG,2023,South Carolina,7.81,7.81
23258,Tashawn Manning,OG,2023,Kentucky,6.25,6.25
23259,Kendall Smith,FS,2023,Illinois,5.19,5.19
23260,Sidy Sow,OG,2023,Eastern Michigan,9.72,9.72
23261,Keith Maguire,LB,2023,Clemson,5.29,5.29
23262,Andrew Vorhees,OG,2023,Southern California,0,0
23263,Luke Wypler,OC,2023,Ohio State,9.31,9.31
23264,MJ Anderson,DE,2023,Iowa State,3.41,3.41
23265,Robert Beal Jr.,DE,2023,Georgia,7.43,7.43
23266,Bryce Hampton,CB,2023,Purdue,3.14,3.14
23267,Zach Harrison,DE,2023,Ohio State,8.71,8.71
23268,Siaki Ika,DT,2023,Baylor,2.75,2.75
23269,Mike Morris,DE,2023,Michigan,4.78,4.78
23270,Jaquelin Roy,DT,2023,Louisiana State,3.72,3.72
23271,Mazi Smith,DT,2023,Michigan,0,0
23272,Lukas Van Ness,DE,2023,Iowa,9.39,9.39
23273,Micah Baskerville,LB,2023,Louisiana State,1.56,1.56
23274,Jack Campbell,LB,2023,Iowa,9.98,9.98
23275,Ventrell Miller,LB,2023,Florida,0,0
23276,Kosi Eldridge,LB,2023,Texas Tech,3.65,3.65
23277,Henry To'o To'o,LB,2023,Alabama,6.83,6.83
23278,Alex Austin,CB,2023,Oregon State,7.3,7.3
23279,Ji'Ayir Brown,FS,2023,Penn State,5.96,5.96
23280,Arquon Bush,CB,2023,Cincinnati,2.98,2.98
23281,Brandon Hill,SS,2023,Pittsburgh,8.55,8.55
23282,Anthony Johnson Jr.,FS,2023,Iowa State,8.13,8.13
23283,Brandon Joseph,SS,2023,Notre Dame,6.47,6.47
23284,Terell Smith,CB,2023,Minnesota,8.67,8.67
23285,Jason Taylor II,SS,2023,Oklahoma State,8.91,8.91
23286,Rashad Torrence II,FS,2023,Florida,4.81,4.81
23287,Cory Trice Jr.,CB,2023,Purdue,9.65,9.65
23288,DJ Turner II,CB,2023,Michigan,9.58,9.58
23289,Carrington Valentine,CB,2023,Kentucky,9.3,9.3
23290,Garrett Williams,CB,2023,Syracuse,0,0
23291,Devon Witherspoon,CB,2023,Illinois,0,0
23292,Anders Carlson,PK,2023,Auburn,0,0
23293,Christopher Dunn,PK,2023,North Carolina State,0,0
23294,B.T. Potter,PK,2023,Clemson,0,0
23295,Paxton Brooks,PK,2023,Tennessee,0,0
23296,Brad Robbins,PK,2023,Michigan,0,0
23297,Holton Ahlers,QB,2023,East Carolina,3.49,3.49
23298,Kelechi Anyalebechi,LB,2023,Incarnate Word,7.92,7.92
23299,Todd Centeio,QB,2023,James Madison,7.09,7.09
23300,Adrian Martinez,QB,2023,Kansas State,9.47,9.47
23301,Sean Clifford,QB,2023,Penn State,9.04,9.04
23302,Aaron Anderson,RB,2023,Point University,0.34,0.34
23303,Chris Smith,RB,2023,Louisiana,5.51,5.51
23304,Owen Wright,RB,2023,Monmouth,5.64,5.64
23305,Emari Demercado,RB,2023,Texas Christian,8.23,8.23
23306,Ronnie Brown,RB,2023,Shepherd,9.35,9.35
23307,Darius Hagans,RB,2023,Virginia State,9.51,9.51
23308,Lwal Uguak,DE,2023,Texas Christian,2.04,2.04
23309,Bailey Edwards,WR,2023,Albion,1.8,1.8
23310,Daniel Arias,WR,2023,Colorado,7.63,7.63
23311,Ryan Miller,WR,2023,Furman,6.97,6.97
23312,Malachi Carter,WR,2023,Georgia Tech,1.9,1.9
23313,Marcus Cooper,RB,2023,Incarnate Word,5.05,5.05
23314,James Campbell,CB,2023,Montana State,8.44,8.44
23315,Braydon Johnson,WR,2023,Oklahoma State,8.39,8.39
23316,Xavier Gipson,WR,2023,Stephen F. Austin,7.93,7.93
23317,Brycen Tremayne,WR,2023,Stanford,7.11,7.11
23318,Ben Sims,TE,2023,Baylor,8.4,8.4
23319,Chris Bacon,SS,2023,Bowling Green,4.02,4.02
23320,Kemari Averett,TE,2023,Bethune-Cookman,3.15,3.15
23321,Brady Russell,TE,2023,Colorado,6.46,6.46
23322,Camren McDonald,TE,2023,Florida State,2.52,2.52
23323,Johnny Lumpkin,TE,2023,Louisiana,6.62,6.62
23324,Jahleel Billingsley,TE,2023,Texas,8.05,8.05
23325,Michael Ezeike,TE,2023,UCLA,3.99,3.99
23326,Cooper Hodges,OT,2023,Appalachian State,6.67,6.67
23327,Harris LaChance,OT,2023,Brigham Young,7.64,7.64
23328,Ryan Swoboda,OT,2023,Central Florida,9.31,9.31
23329,Dwayne Boyles,LB,2023,South Florida,7.34,7.34
23330,Silas Dzansi,OT,2023,Virginia Tech,7.41,7.41
23331,Grant Miller,OG,2023,Baylor,2.33,2.33
23332,Jeremy Cooper,OG,2023,Cincinnati,4.68,4.68
23333,DJ Scaife Jr.,OG,2023,Miami,7.49,7.49
23334,Nash Jensen,OG,2023,North Dakota State,7.51,7.51
23335,Brandon Kipper,OG,2023,Oregon State,2.82,2.82
23336,Jon Gaines II,OG,2023,UCLA,9.63,9.63
23337,Brandon Council,OC,2023,Auburn,5.29,5.29
23338,Trevor Downing,OC,2023,Iowa State,0,0
23339,James Jackson,OC,2023,South Alabama,3.47,3.47
23340,Ahofitu Maka,OC,2023,UTSA,6.34,6.34
23341,Scott Matlock,DT,2023,Boise State,9.66,9.66
23342,Calvin Avery,DT,2023,Illinois,3.12,3.12
23343,Eli Huggins,DT,2023,Kansas State,7.16,7.16
23344,Cory Durden,DT,2023,North Carolina State,4.96,4.96
23345,Jayson Ademilola,DT,2023,Notre Dame,7.51,7.51
23346,Jeffery Johnson,DT,2023,Oklahoma,0.25,0.25
23347,Jordon Riley,DT,2023,Oregon,2.8,2.8
23348,LaTrell Bumphus,DT,2023,Tennessee,8.72,8.72
23349,Raymond Pauwels Jr.,TE,2023,Fresno State,4.65,4.65
23350,John Waggoner,DE,2023,Iowa,5.02,5.02
23351,Callahan O'Reilly,LB,2023,Montana State,7.93,7.93
23352,Durrell Johnson,DE,2023,Liberty,6.87,6.87
23353,Greg China-Rose,DE,2023,Maryland,1.86,1.86
23354,Mitch Agude,DE,2023,Miami,7.11,7.11
23355,Thomas Rush,DE,2023,Minnesota,9.07,9.07
23356,Randy Charlton,DE,2023,Mississippi State,2.53,2.53
23357,Garrett Nelson,DE,2023,Nebraska,7.07,7.07
23358,Deslin Alexandre,DE,2023,Pittsburgh,8.41,8.41
23359,Michael Ayers,LB,2023,Ashland,8.7,8.7
23360,Dillon Doyle,LB,2023,Baylor,0,0
23361,Ayinde Eley,LB,2023,Georgia Tech,2.05,2.05
23362,Zeke Vandenburgh,LB,2023,Illinois State,8.73,8.73
23363,Tyler Murray,LB,2023,Memphis,5.64,5.64
23364,Jimmy Phillips Jr.,LB,2023,Southern Methodist,3.44,3.44
23365,Mikel Jones,LB,2023,Syracuse,1.51,1.51
23366,Jamal Woods,DT,2023,Illinois,8.85,8.85
23367,Zaire Barnes,LB,2023,Western Michigan,9.12,9.12
23368,Keenan Isaac,CB,2023,Alabama State,7.09,7.09
23369,Steven Jones Jr.,CB,2023,Appalachian State,4.51,4.51
23370,Mark Milton,CB,2023,Baylor,5.69,5.69
23371,Kaleb Hayes,CB,2023,Brigham Young,9.75,9.75
23372,William Ley III,OG,2023,Georgia State,0.09,0.09
23373,Isaiah Bolden,CB,2023,Jackson State,9.44,9.44
23374,DJ Ivey,CB,2023,Miami,7.87,7.87
23375,Ameer Speed,CB,2023,Michigan State,8.86,8.86
23376,CJ Coldon,CB,2023,Oklahoma,3.92,3.92
23377,Corey Mayfield,CB,2023,UTSA,6.95,6.95
23378,Darrious Gaines,CB,2023,Western Colorado,2.37,2.37
23379,Nico Bolden,SS,2023,Kent State,8.8,8.8
23380,Quindell Johnson,FS,2023,Memphis,7.31,7.31
23381,Collin Duncan,SS,2023,Mississippi State,5.04,5.04
23382,Jalen Green,FS,2023,Mississippi State,4.97,4.97
23383,Kendall Williamson,SS,2023,Stanford,8.7,8.7
23384,Macon Clark,FS,2023,Tulane,6.49,6.49
23385,Jonathan Cruz,PK,2023,Mississippi,0,0
23386,Jeffrey Manning Jr.,SS,2023,Montana State,1.03,1.03
23387,Lou Hedley,PK,2023,Miami,0,0
23388,Carlos Washington Jr.,RB,2023,Southeastern Louisiana,5.71,5.71
23389,Robert Soderholm,LS,2023,Virginia Military Institute,6.8,6.8
23390,N'Kosi Perry,QB,2023,Florida Atlantic,6.24,6.24
23391,Fred Payton,QB,2023,Mercer,1.79,1.79
23392,Devonte Myles,SS,2023,New Haven,1.93,1.93
23393,Logan Bonner,QB,2023,Utah State,6.04,6.04
23394,Fotis Kokosioulis,WR,2023,Fordham,4.74,4.74
23395,Que'Shaun Byrd,RB,2023,Bethune-Cookman,4.1,4.1
23396,Ta'Zhawn Henry,RB,2023,Houston,4.8,4.8
23397,Jeremiah Nelson,FB,2023,Kutztown,1.4,1.4
23398,Ellis Merriweather,RB,2023,Massachusetts,5.48,5.48
23399,Jalen Holston,RB,2023,Virginia Tech,2.98,2.98
23400,Elijah Harper,WR,2023,Adams State,0.93,0.93
23401,Shedrick Jackson,WR,2023,Auburn,9.27,9.27
23402,Jayshon Jackson,WR,2023,Ball State,1.83,1.83
23403,Tyron Arnett,WR,2023,Chattanooga,0.45,0.45
23404,Carlos Carriere,WR,2023,Central Michigan,5.38,5.38
23405,Eric Gallman II,WR,2023,Duke,0.04,0.04
23406,Ontaria Wilson,WR,2023,Florida State,1.59,1.59
23407,Ca'Miron Smith,CB,2023,Chattanooga,0.54,0.54
23408,Jeremy Singleton,WR,2023,Georgia Southern,0,0
23409,KeSean Carter,WR,2023,Houston,3.99,3.99
23410,Brennan Ray,FS,2023,Montclair State,0.27,0.27
23411,Mac Hippenhammer,WR,2023,Miami OH,2.94,2.94
23412,John Ford,LB,2023,Tennessee-Martin,2.61,2.61
23413,Chris Boudreaux,WR,2023,Missouri Southern,0.08,0.08
23414,Tyjon Lindsey,WR,2023,Oregon State,8.73,8.73
23415,Dylan Classi,WR,2023,Princeton,3.44,3.44
23416,Braxton Burmeister,WR,2023,San Diego State,4.84,4.84
23417,Johnny King,WR,2023,Southeast Missouri,5.31,5.31
23418,Adonicas Sanders,WR,2023,Temple,2.8,2.8
23419,London Harris,LB,2023,Texas State,7.9,7.9
23420,Ronnie Blackmon,WR,2023,West Georgia,6.86,6.86
23421,Jaylen Hall,WR,2023,Western Kentucky,7.43,7.43
23422,Caylin Newton,WR,2023,William & Mary,0.78,0.78
23423,John Samuel Shenker,TE,2023,Auburn,2.5,2.5
23424,Jordan Murray,TE,2023,Hawaii,6.69,6.69
23425,Tyler Roberts,TE,2023,Merrimack,6.32,6.32
23426,Joel Honigford,TE,2023,Michigan,3.74,3.74
23427,Josh Donovan,OT,2023,Arizona,0.39,0.39
23428,Dylan O'Quinn,OT,2023,Cincinnati,6.04,6.04
23429,Kendrick Sartor,OT,2023,Marshall,2.64,2.64
23430,Anthony Witherstone,CB,2023,Merrimack,6,6
23431,Isaac Cochran,OG,2023,Air Force,4.75,4.75
23432,Jamezz Kimbrough,OG,2023,Central Michigan,3.79,3.79
23433,Gray Davis,OG,2023,Colorado State,4.15,4.15
23434,Cedrice Paillant,OG,2023,Marshall,6,6
23435,Marcus Minor,OG,2023,Pittsburgh,8.32,8.32
23436,Jordan Boatman,OT,2023,Sam Houston State,7.86,7.86
23437,Tykeem Doss,OG,2023,Southern Mississippi,3.56,3.56
23438,Cobe Bryant,OG,2023,UNLV,0.6,0.6
23439,Jacob Gall,OC,2023,Baylor,4.75,4.75
23440,Prince Washington,CB,2023,Sacramento State,2.71,2.71
23441,Alex Pihlstrom,OC,2023,Illinois,9.26,9.26
23442,Drew Bones,OC,2023,Illinois State,4.82,4.82
23443,Kevin Toote,OC,2023,Pace,3.58,3.58
23444,Eric Douglas,OC,2023,South Carolina,5.73,5.73
23445,Darian Bryant,OT,2023,Virginia Union,1.55,1.55
23446,Pierre Williams,WR,2023,Sacramento State,3.7,3.7
23447,Devious Christmon,CB,2023,Bethel-TN,1.44,1.44
23448,Brandon Weldon,OG,2023,Sacramento State,5.42,5.42
23449,Paul Sogialofa,OG,2023,Sacramento State,0.34,0.34
23450,Mike Marchese,TE,2023,Illinois,5.23,5.23
23451,Dennis Osagiede,DT,2023,Liberty,0,0
23452,Dre Terry,LB,2023,Alabama A&M,0.48,0.48
23453,Xach Gill,DT,2023,Temple,3.03,3.03
23454,Jacob Sykes,DT,2023,UCLA,9.06,9.06
23455,Rodney Samson,LB,2023,Merrimack,1.53,1.53
23456,Rashawn Yates,DT,2023,South Florida,4.92,4.92
23457,Dion Bergan,DT,2023,Wake Forest,4.99,4.99
23458,Kody Case,WR,2023,Illinois,8.42,8.42
23459,Amir Siddiq,DE,2023,Charlotte,7.56,7.56
23460,Adrian Hope,DE,2023,Coastal Carolina,0.29,0.29
23461,CJ Onyechi,DE,2023,Colorado State,4.28,4.28
23462,Michael Nobile,DE,2023,Delaware Valley,0.1,0.1
