Year,Fantasy_Points,PassingYards,PassingTDs,Ints,RushAttempts,RushYards,Fumbles,RushTDs,PassingSkill,RunningSkill
2020-01-01,34,432,3,2,6,28,0,0,Backup,RegularQB
2022-01-01,13,108,1,0,20,75,0,0,Backup,RegularQB
2023-01-01,17,166,2,2,7,33,0,0,Backup,RegularQB
2019-01-01,294,3978,27,13,46,62,5,1,Solid,RegularQB
2020-01-01,74,1096,7,5,10,25,0,0,Backup,RegularQB
2021-01-01,260,3810,20,12,38,51,3,3,Solid,RegularQB
2022-01-01,192,2437,16,4,23,33,2,2,Did not play many games,RegularQB
2023-01-01,74,1205,7,9,20,39,0,0,Backup,RegularQB
2020-01-01,196,2688,13,5,37,142,4,3,Did not play many games,RegularQB
2021-01-01,372,4611,34,14,40,118,2,2,Really Good,RegularQB
2022-01-01,411,4475,35,12,75,257,3,5,MVP Passer,RedZone Threat
2023-01-01,170,2309,15,6,31,88,1,0,Did not play many games,RegularQB
2019-01-01,94,1822,6,5,12,20,3,0,Backup,RegularQB
2020-01-01,64,864,6,3,6,22,0,0,Backup,RegularQB
2021-01-01,29,338,3,0,2,3,1,0,Backup,RegularQB
2022-01-01,60,1051,5,3,3,6,4,0,Backup,RegularQB
2023-01-01,125,1616,13,8,9,2,1,0,Backup,RegularQB
2020-01-01,12,231,0,1,6,56,0,0,Backup,RegularQB
2021-01-01,-2,5,0,1,2,-1,0,0,Backup,RegularQB
2022-01-01,16,390,1,3,8,32,1,0,Backup,RegularQB
2021-01-01,23,411,2,3,12,27,1,0,Backup,RegularQB
2022-01-01,12,195,1,0,1,-1,0,0,Backup,RegularQB
2023-01-01,373,4159,32,11,50,247,3,4,Solid,RegularQB
2019-01-01,318,3089,20,9,109,510,4,9,Game Manager,Dual Threat
2020-01-01,461,4544,37,10,102,421,6,8,MVP Passer,Dual Threat
2021-01-01,460,4407,36,15,122,763,3,6,Really Good,Dual Threat
2022-01-01,455,4283,35,14,124,762,5,7,Really Good,Dual Threat
2023-01-01,438,4306,29,18,111,524,4,15,High Volume,Dual Threat
2021-01-01,54,638,5,2,9,28,0,0,Backup,RegularQB
2022-01-01,0,10,0,0,2,3,0,0,Backup,RegularQB
2019-01-01,0,24,0,0,2,-2,0,0,Backup,RegularQB
2019-01-01,18,567,1,5,3,13,0,0,Backup,RegularQB
2021-01-01,-4,19,0,2,0,0,0,0,Backup,RegularQB
2020-01-01,2,2,0,0,2,20,0,0,Backup,RegularQB
2022-01-01,26,411,2,2,8,44,2,0,Backup,RegularQB
2023-01-01,223,2464,13,10,77,421,7,6,Backup,Dual Threat
2021-01-01,135,1870,7,10,72,420,5,2,Backup,Dual Threat
